Symbol,Market Cap,Country,Industry,Sector
NVDA,4.44114E+12,United States,semiconductors,technology
AAPL,4.1372E+12,United States,consumer-electronics,technology
GOOGL,3.89126E+12,United States,internet-content-information,communication-services
GOOG,3.88822E+12,United States,internet-content-information,communication-services
MSFT,3.59141E+12,United States,software-infrastructure,technology
AMZN,2.45373E+12,United States,internet-retail,consumer-cyclical
AVGO,1.84286E+12,United States,semiconductors,technology
META,1.69737E+12,United States,internet-content-information,communication-services
TSM,1.52857E+12,Taiwan,semiconductors,technology
TSLA,1.51325E+12,United States,auto-manufacturers,consumer-cyclical
WMT,9.17755E+11,United States,discount-stores,consumer-defensive
LLY,9.05699E+11,United States,drug-manufacturers-general,healthcare
JPM,8.66283E+11,United States,banks-diversified,financial-services
V,6.42918E+11,United States,credit-services,financial-services
ORCL,6.20275E+11,United States,software-infrastructure,technology
XOM,4.96839E+11,United States,oil-gas-integrated,energy
MA,4.93157E+11,United States,credit-services,financial-services
JNJ,4.86509E+11,United States,drug-manufacturers-general,healthcare
PLTR,4.33213E+11,United States,software-infrastructure,technology
ASML,4.26757E+11,Netherlands,semiconductor-equipment-materials,technology
NFLX,4.24749E+11,United States,entertainment,communication-services
BAC,3.99605E+11,United States,banks-diversified,financial-services
ABBV,3.9957E+11,United States,drug-manufacturers-general,healthcare
COST,3.9677E+11,United States,discount-stores,consumer-defensive
BABA,3.77751E+11,Hong Kong,internet-retail,consumer-cyclical
AMD,3.54864E+11,United States,semiconductors,technology
HD,3.53018E+11,United States,home-improvement-retail,consumer-cyclical
PG,3.35743E+11,United States,household-personal-products,consumer-defensive
CSCO,3.08067E+11,United States,communication-equipment,technology
CVX,3.02223E+11,United States,oil-gas-integrated,energy
KO,3.01257E+11,United States,beverages-non-alcoholic,consumer-defensive
GE,3.01101E+11,United States,aerospace-defense,industrials
UNH,2.99751E+11,United States,healthcare-plans,healthcare
SAP,2.88502E+11,Germany,software-application,technology
IBM,2.87842E+11,United States,information-technology-services,technology
WFC,2.87765E+11,United States,banks-diversified,financial-services
CAT,2.82572E+11,United States,farm-heavy-construction-machinery,industrials
MS,2.81769E+11,United States,capital-markets,financial-services
AZN,2.79609E+11,United Kingdom,drug-manufacturers-general,healthcare
MU,2.66955E+11,United States,semiconductors,technology
GS,2.58693E+11,United States,capital-markets,financial-services
AXP,2.5772E+11,United States,credit-services,financial-services
TM,2.56184E+11,Japan,auto-manufacturers,consumer-cyclical
NVS,2.53588E+11,Switzerland,drug-manufacturers-general,healthcare
CRM,2.49105E+11,United States,software-application,technology
MRK,2.49079E+11,United States,drug-manufacturers-general,healthcare
HSBC,2.43756E+11,United Kingdom,banks-diversified,financial-services
TMUS,2.35922E+11,United States,telecom-services,communication-services
APP,2.34049E+11,United States,advertising-agencies,communication-services
PM,2.30087E+11,United States,tobacco,consumer-defensive
RTX,2.29406E+11,United States,aerospace-defense,industrials
RY,2.28274E+11,Canada,banks-diversified,financial-services
MCD,2.22095E+11,United States,restaurants,consumer-cyclical
