,F1,F2,F3,F4,F5
Beta,0.3656055416831941,0.0,0.0,-0.11199921118686999,0.0
HML_2,0.0,-0.2454839058279266,0.0,0.03940772198179805,0.46029875698722805
HML_3,0.0,0.0,0.0,0.0,0.5940401938378371
HML_5,-0.046543671256781674,0.0,0.0,0.0,0.6595353605697328
STR_1,0.0,0.0,0.0,0.9528640867521759,0.0
STR_6,0.0,0.0,-0.5333592856518791,0.20603593406355386,0.0
UMD_2_12,0.0,0.559126716456601,0.4446910804544069,0.0,0.0
UMD_2_6,0.0,0.0,0.7195613043372008,0.0,0.0
UMD_7_12,0.0,0.7919059078728515,0.0,0.0,0.0
VOL_0.5,0.3450370666814015,0.0,-0.0030405055099030167,0.17278510434662944,0.0
VOL_1,0.41835347296748515,0.0,0.0,0.07129000136144739,0.0
VOL_2,0.4364318298768796,0.0,0.0,0.0,0.0
VOL_3,0.4354377531815686,0.0,0.0,0.0,0.0
VOL_5,0.4359097266670271,0.0,0.0,-0.02377977325447227,-0.01595025326665021
