,PC1,PC2,PC3,PC4,PC5
Beta,0.32477763389574926,-0.1326136438046304,-0.022847071524373107,-0.04143463555306118,0.540471633515096
HML_2,-0.21952333349004216,-0.3853435631275276,0.18432957560163493,0.1184246054992101,0.16514993956414267
HML_3,-0.23836780904803134,-0.20359349437349514,0.12822857460972384,0.2802108074121102,0.446786019103021
HML_5,-0.32465179742880135,-0.18344843255052135,0.2470309326002726,0.142203339332997,0.32389048308336527
STR_1,-0.09027132435813603,-0.07351157179842344,0.20863967641945563,0.6419859754621959,-0.3409584442139953
STR_6,-0.16242238095992056,-0.19594610675164617,-0.4511745355378667,0.24553093537929274,-0.059859258933911
UMD_2_12,0.20840269616575763,0.46372315384128726,0.20256995441832426,0.3400926681825908,0.14926677347216105
UMD_2_6,0.17030227614589208,0.19972737679549907,0.6671811307915081,-0.01476611294938173,-0.0727849441508982
UMD_7_12,0.11241029529992519,0.43355875963025714,-0.38820623011474936,0.4395647258327295,0.2583253889403436
VOL_0.5,0.24429636520032938,-0.28446542417029347,-0.04218956032154074,0.22024494594258914,-0.28681035432141944
VOL_1,0.31024515424062676,-0.29385682716498013,0.020599050622472678,0.17179961967575172,-0.20472004639272556
VOL_2,0.3612846925487989,-0.19145885456729697,0.016722636193377077,0.13403641003307531,0.0703863671808569
VOL_3,0.3698931712097421,-0.17734388569913606,-0.038390484977578916,0.02493791694012859,0.08930264755121683
VOL_5,0.37580589443982854,-0.19167250149145607,0.010849570375293216,-0.08589907376169323,0.15763065296453665
