symbol,prediction,Beta,HML_2,HML_3,HML_5,STR_1,STR_6,UMD_2_12,UMD_2_6,UMD_7_12,VOL_0.5,VOL_1,VOL_2,VOL_3,VOL_5,country_Other,country_US,sectorKey_communication-services,sectorKey_consumer-cyclical,sectorKey_consumer-defensive,sectorKey_energy,sectorKey_financial-services,sectorKey_healthcare,sectorKey_technology,industryKey_auto-manufacturers,industryKey_banks-diversified,industryKey_consumer-electronics,industryKey_credit-services,industryKey_discount-stores,industryKey_drug-manufacturers-general,industryKey_entertainment,industryKey_internet-content-information,industryKey_internet-retail,industryKey_oil-gas-integrated,industryKey_semiconductor-equipment-materials,industryKey_semiconductors,industryKey_software-infrastructure
TSLA,0.7306,-0.0267,0.0018,-0.032,0.0193,0.1297,0.0027,-0.0012,0.0162,0.0641,0.1064,0.0806,0.0229,0.0238,0.0028,0.0002,0.0005,-0.0009,-0.0018,0.0,-0.0,0.0019,-0.0003,-0.0011,-0.0021,0.0001,-0.0001,0.0011,-0.0,0.0,0.0002,-0.0012,-0.0006,-0.0001,-0.0,-0.0026,0.0001
META,0.3813,-0.0232,-0.006,-0.0259,0.0119,0.1819,-0.0129,0.0009,-0.0077,-0.0466,-0.0602,0.0415,0.0019,-0.0039,0.0005,0.0002,0.0001,-0.002,-0.0001,0.0,-0.0002,0.0016,-0.001,-0.0002,0.0001,-0.0,-0.0003,0.0005,-0.0,0.0002,-0.0001,0.0068,-0.0005,-0.0003,-0.0,-0.0028,-0.0001
LLY,0.3565,0.0712,-0.0052,-0.0107,0.0241,-0.0345,0.01,0.0023,0.0189,-0.0341,-0.0359,0.0232,0.0017,-0.0077,-0.0001,0.0005,0.0006,0.0016,-0.0007,0.0001,-0.0001,0.0004,0.0012,0.0008,0.0002,0.0,-0.0001,0.0005,-0.0,0.0054,-0.0001,-0.0007,-0.0012,-0.0001,0.0001,-0.002,0.0
AVGO,0.3324,-0.0525,-0.0027,-0.0457,-0.0154,-0.0637,0.0098,-0.0027,0.0036,-0.0512,0.1113,0.0694,0.0391,-0.0111,0.0052,0.0006,0.0005,0.0021,-0.0004,0.0001,-0.0001,0.0005,-0.0003,-0.002,0.0003,-0.0,-0.0001,0.0006,-0.0,0.0,0.0,-0.0003,-0.001,-0.0002,0.0,0.0116,0.0001
MA,0.2784,0.0317,0.0051,0.0051,0.0057,0.1357,-0.0011,0.0012,-0.0182,-0.0321,-0.0601,-0.0756,-0.0158,-0.0104,-0.0078,0.0003,0.0003,-0.0003,-0.0002,0.0,-0.0001,-0.0064,-0.0003,-0.0,0.0001,-0.0,-0.0002,-0.001,-0.0,0.0003,0.0,-0.0019,-0.0008,-0.0001,0.0,-0.0015,-0.0001
V,0.2772,0.0336,0.0055,0.0053,0.0083,0.1375,-0.0107,0.0011,-0.0172,-0.0365,-0.0563,-0.0746,-0.0147,-0.0103,-0.008,0.0003,0.0003,-0.0003,-0.0002,0.0,-0.0001,-0.0064,-0.0009,0.0,0.0001,-0.0,-0.0002,-0.0013,-0.0,0.0003,0.0,-0.0019,-0.0008,-0.0001,0.0,-0.0016,-0.0001
ORCL,0.2538,-0.0549,-0.0108,-0.0021,-0.01,-0.0587,-0.0185,0.0028,-0.07,-0.0661,0.1451,0.0815,0.0059,-0.0127,-0.0029,0.0002,0.0005,0.0025,-0.0003,0.0,-0.0001,0.0005,-0.0005,-0.0006,0.0002,-0.0,-0.0002,0.0006,0.0,0.0,0.0001,-0.0,-0.0008,-0.0002,-0.0,-0.0027,-0.0008
AAPL,0.2372,-0.0516,0.0036,-0.0034,0.0112,0.0346,0.0072,0.0016,0.0188,-0.0235,-0.0487,-0.0287,-0.0063,-0.0032,0.0001,0.0003,0.0005,0.0006,-0.0003,0.0,-0.0002,0.0011,-0.0002,0.0006,0.0001,0.0,-0.0014,0.0005,-0.0,0.0002,-0.0,-0.0008,-0.0006,-0.0003,0.0,-0.0017,0.0001
NFLX,0.1955,0.0311,-0.0015,-0.002,0.0019,0.0295,-0.0213,-0.0001,-0.0334,-0.0589,-0.042,-0.0039,-0.0054,-0.0043,-0.0048,0.0001,0.0006,-0.0123,-0.0,0.0,-0.0001,0.0007,-0.0017,-0.0005,0.0001,-0.0,-0.0002,0.0004,-0.0,0.0001,0.0007,-0.0007,-0.0011,-0.0001,0.0001,-0.0025,0.0
XOM,0.1882,0.0449,0.0031,0.0113,-0.0109,-0.026,0.0069,0.0026,-0.0003,-0.0286,-0.054,-0.0776,-0.0078,-0.0017,-0.0027,0.0003,0.0006,0.0014,-0.0004,0.0,0.0002,0.0001,-0.0003,0.001,0.0001,0.0,-0.0001,0.0003,-0.0,0.0002,-0.0,-0.0003,-0.0013,0.0014,0.0,-0.0017,0.0006
