feature,importance_mean,importance_std
UMD_2_6,0.1841,0.0692
HML_2,0.1693,0.1132
UMD_7_12,0.1568,0.0773
STR_6,0.0684,0.2416
VOL_0.5,0.0576,0.0238
STR_1,0.0472,0.0257
UMD_2_12,0.0358,0.0232
HML_5,0.0147,0.0473
HML_3,0.007,0.0298
industryKey_internet-retail,0.0014,0.0014
sectorKey_communication-services,0.0012,0.0035
sectorKey_healthcare,0.0006,0.0007
industryKey_semiconductor-equipment-materials,0.0004,0.0002
industryKey_discount-stores,0.0003,0.0001
industryKey_oil-gas-integrated,0.0003,0.0
industryKey_banks-diversified,0.0,0.0
industryKey_drug-manufacturers-general,0.0,0.0002
sectorKey_consumer-defensive,-0.0002,0.0004
sectorKey_energy,-0.0003,0.0004
sectorKey_consumer-cyclical,-0.0009,0.0012
industryKey_semiconductors,-0.0017,0.0015
industryKey_entertainment,-0.0019,0.0005
sectorKey_financial-services,-0.0024,0.0019
industryKey_credit-services,-0.0025,0.0091
sectorKey_technology,-0.0037,0.0043
country_US,-0.0047,0.0029
country_Other,-0.0066,0.0071
industryKey_consumer-electronics,-0.0081,0.0093
industryKey_software-infrastructure,-0.0101,0.0084
VOL_3,-0.0161,0.0339
industryKey_internet-content-information,-0.0257,0.0223
industryKey_auto-manufacturers,-0.0303,0.0699
Beta,-0.0309,0.0163
VOL_2,-0.0382,0.0139
VOL_5,-0.1017,0.1578
VOL_1,-0.1306,0.0459
