symbol,prediction,Beta,HML_2,HML_3,HML_5,STR_1,STR_6,UMD_2_12,UMD_2_6,UMD_7_12,VOL_0.5,VOL_1,VOL_2,VOL_3,VOL_5,country_Other,country_US,sectorKey_communication-services,sectorKey_consumer-cyclical,sectorKey_consumer-defensive,sectorKey_energy,sectorKey_financial-services,sectorKey_healthcare,sectorKey_technology,industryKey_auto-manufacturers,industryKey_banks-diversified,industryKey_consumer-electronics,industryKey_credit-services,industryKey_discount-stores,industryKey_drug-manufacturers-general,industryKey_entertainment,industryKey_internet-content-information,industryKey_internet-retail,industryKey_oil-gas-integrated,industryKey_semiconductor-equipment-materials,industryKey_semiconductors,industryKey_software-infrastructure
TSLA,0.8888,-0.0775,0.014,-0.0439,0.029,0.0829,0.0042,0.0176,0.0556,0.0988,0.107,0.1493,0.0579,0.0182,0.0509,0.0008,0.0018,0.0013,-0.0003,0.0,-0.0001,0.0036,-0.0006,-0.0023,0.0,0.0,-0.0,0.0032,0.0,-0.0011,0.0004,0.0,-0.0001,0.0,0.0,-0.0001,-0.0008
LLY,0.4632,0.0951,0.0213,-0.0121,-0.0523,-0.0094,-0.0033,-0.0046,0.0378,0.0079,-0.0322,0.0427,0.0034,-0.0094,0.0086,0.0005,0.0003,0.0017,0.0,0.0,-0.0001,0.0003,0.0192,-0.0016,0.0,0.0,-0.0,0.0019,0.0,0.029,0.0009,0.0,-0.0002,0.0,0.0,-0.0001,-0.0009
ASML,0.2774,-0.1216,0.0242,-0.0262,0.04,0.0037,0.0078,-0.0096,0.0447,-0.0005,-0.057,0.0535,-0.0031,-0.0251,0.0327,-0.0017,-0.0026,0.0014,0.0001,0.0,-0.0002,0.0003,-0.0019,0.0036,0.0,0.0,-0.0,0.0011,0.0,-0.0043,0.0005,0.0,-0.0,0.0,0.0,-0.0001,-0.001
AVGO,0.2577,-0.1015,-0.0035,-0.0792,-0.0759,-0.0766,0.0021,-0.0125,0.0313,-0.0543,0.1289,0.1257,0.0555,-0.0331,0.027,0.0003,0.0004,0.0018,0.0,0.0,-0.0002,0.0,-0.0008,0.0037,0.0,0.0,-0.0,0.001,0.0,-0.0019,0.0004,0.0,-0.0002,0.0,0.0,0.0015,-0.001
NFLX,0.255,0.0608,0.0472,0.0197,0.0117,-0.0021,-0.0122,0.0118,-0.0509,-0.0654,-0.0402,-0.0123,-0.0029,-0.0109,0.0172,0.0005,0.0005,-0.0102,0.0,0.0,-0.0001,0.0007,-0.0028,-0.0063,0.0,0.0,-0.0,0.001,0.0,-0.0045,-0.0116,0.0,-0.0002,0.0,0.0,-0.0001,-0.002
GOOG,0.2242,-0.0104,0.0078,-0.0077,-0.0275,-0.0456,0.0032,0.021,0.027,-0.0023,-0.0597,-0.0267,-0.0116,0.0543,-0.0023,0.0006,0.0002,-0.0073,0.0001,0.0,-0.0002,0.0009,-0.0028,-0.0013,0.0,0.0,-0.0,0.0008,0.0,-0.0045,0.0005,0.0,-0.0,0.0,0.0,-0.0001,-0.0009
GOOGL,0.2005,-0.0471,0.0077,-0.0036,-0.0291,-0.0445,0.0059,0.0168,0.0273,-0.0062,-0.0593,-0.0127,-0.0087,0.0525,-0.0033,0.0006,0.0004,-0.0073,0.0001,0.0,-0.0002,0.0007,-0.0028,-0.0013,0.0,0.0,-0.0,0.0008,0.0,-0.0045,0.0005,0.0,-0.0,0.0,0.0,-0.0001,-0.0009
WMT,0.1736,0.0746,0.0139,0.0312,0.0168,-0.0346,-0.0018,-0.0014,0.0168,-0.0033,-0.0438,-0.1257,-0.0222,-0.0049,-0.0523,0.0005,0.0002,0.0008,0.0001,0.0,-0.0001,-0.0009,-0.0028,-0.0017,0.0,0.0,-0.0001,0.0008,0.0,-0.0045,0.0005,0.0,0.0,0.0,0.0,-0.0001,-0.0013
JPM,0.1526,0.0492,0.0214,0.0039,0.0094,-0.0222,0.0343,-0.0021,0.0168,-0.0438,-0.0506,-0.1159,-0.0241,0.0095,-0.0528,0.0002,0.0002,0.0016,0.0,0.0,-0.0001,0.0073,-0.0028,-0.0017,0.0,0.0,-0.0001,0.001,0.0,-0.0045,0.0005,0.0,-0.0002,0.0,0.0,-0.0001,-0.0009
ORCL,0.1404,-0.1311,-0.0021,-0.0256,-0.0201,-0.0224,-0.0299,0.0114,-0.1216,-0.0717,0.0979,0.114,-0.0004,-0.0282,0.0229,0.0003,0.0006,0.002,0.0,0.0,-0.0002,-0.0001,-0.0008,0.0131,0.0,0.0,-0.0,0.0012,0.0,-0.0019,0.0005,0.0,-0.0002,0.0,0.0,-0.0001,0.014
